timestamp,tt,rh,pp,ws,wd,sr,rr
2025-10-13T05:42:24.532716,21.84,76.4,995.7599,0.973,297.3,0.0,0.0
2025-10-13T05:42:25.533932,21.83,76.7,995.7,1.026,299.9,0.0,0.0
2025-10-13T05:42:26.535227,21.74,77.1,995.635,1.1,265.1,0.0,0.0
2025-10-13T05:42:27.535875,21.76,77.4,995.535,1.036,316.0,0.0,0.0
2025-10-13T05:42:28.537254,21.78,77.4,995.5,1.223,310.5,0.0,0.0
2025-10-13T05:42:29.538524,21.7,77.7,995.5,0.878,282.8,0.0,0.0
2025-10-13T05:42:30.539781,21.7,77.7,995.4149,1.032,308.5,0.0,0.0
2025-10-13T05:42:31.541352,21.79,77.3,995.285,1.071,306.6,0.0,0.0
2024-08-15T20:00:00,21.86,76.8,995.2,1.325,315.4,0.0,0.0
2024-08-15T20:10:00,21.91,76.5,995.285,1.512,303.8,-9999.0,0.0
