date,tt,rh,pp,ws,wd,sr,rr
2024-01-02 01:10:00+00,28.59,83.1,995.8854,0.743,236.1,327.2,0.0
2024-01-02 01:20:00+00,28.55,82.5,995.8297,0.227,113.6,218.5,0.0
2024-01-02 01:30:00+00,29.13,80.9,995.7111,0.428,142.0,488.5,0.0
2024-01-02 01:40:00+00,29.65,77.12,995.6822,0.487,156.3,399.0,0.0
2024-01-02 01:50:00+00,29.72,76.05,995.692,0.881,191.9,286.3,0.0
2024-01-02 02:00:00+00,29.31,76.79,995.6263,0.403,203.3,170.2,0.0
2024-01-02 02:10:00+00,29.09,76.74,995.6774,0.904,260.1,175.9,0.0
2024-01-02 02:20:00+00,29.18,76.8,995.6201,1.027,266.0,324.6,0.0
2024-01-02 02:30:00+00,29.6,75.78,995.5946,1.062,216.0,289.4,0.0
2024-01-02 02:40:00+00,29.47,76.14,995.5911,0.592,190.5,247.4,0.0
2024-01-02 02:50:00+00,29.68,74.77,995.465,0.743,189.8,389.2,0.0
2024-01-02 03:00:00+00,30.74,70.29,995.264,0.681,227.1,903.0,0.2
2024-01-02 03:10:00+00,31.04,69.1,995.1809,1.054,215.0,271.8,0.0
2024-01-02 03:20:00+00,30.33,72.83,995.0714,0.999,234.4,306.2,0.0
2024-01-02 03:30:00+00,30.41,72.58,994.9921,0.883,165.5,403.7,0.0
2024-01-02 03:40:00+00,31.21,69.39,994.8421,1.268,281.1,705.9,0.0
2024-01-02 03:50:00+00,31.37,68.3,994.6556,0.729,213.8,402.1,0.0
2024-01-02 04:00:00+00,30.86,70.1,994.5447,0.968,181.7,210.6,0.0
2024-01-02 04:10:00+00,30.35,73.54,994.4852,1.96,182.4,200.2,0.0
2024-01-02 04:20:00+00,30.18,74.72,994.4601,0.931,180.6,307.5,0.0
2024-01-02 04:30:00+00,30.29,73.52,994.2601,0.829,214.8,250.1,0.0
2024-01-02 04:40:00+00,30.37,73.41,994.0036,1.046,170.1,255.7,0.0
2024-01-02 04:50:00+00,30.46,72.9,993.8106,1.024,174.3,293.0,0.0
2024-01-02 05:00:00+00,30.57,72.91,993.551,1.132,156.4,268.5,0.0
2024-01-02 05:10:00+00,30.73,72.02,993.3903,0.945,206.9,357.4,0.0
2024-01-02 05:20:00+00,30.64,72.04,993.3301,1.236,220.7,231.7,0.0
2024-01-02 05:30:00+00,30.41,71.99,993.2083,1.733,190.2,274.6,0.0
2024-01-02 05:40:00+00,31.3,69.81,993.0758,1.097,190.1,913.0,0.0
2024-01-02 05:50:00+00,32.16,66.07,992.8809,1.271,210.5,707.1,0.0
2024-01-02 06:00:00+00,31.94,67.15,992.7653,1.544,178.8,681.4,0.0
2024-01-02 06:10:00+00,31.91,66.09,992.611,0.804,150.2,669.2,0.0
2024-01-02 06:20:00+00,31.84,65.17,992.4362,1.139,189.4,678.6,0.0
2024-01-02 06:30:00+00,32.09,65.47,992.2379,1.302,203.5,644.4,0.0
2024-01-02 06:40:00+00,31.64,67.26,992.1331,1.57,175.8,582.7,0.0
2024-01-02 06:50:00+00,31.71,67.13,992.0704,1.484,181.1,577.3,0.0
2024-01-02 07:00:00+00,31.95,65.97,991.9083,1.14,222.6,532.1,0.0
2024-01-02 07:10:00+00,32.07,64.86,991.5631,0.889,181.3,517.7,0.0
