date,tt,rh,pp,ws,wd,sr,rr
2024-01-02 04:10:00+00,34.35,58.51,1000.199,0.172,104.8,821.0,0.0
2024-01-02 04:20:00+00,34.45,56.25,1000.055,0.37,118.9,798.2,0.0
2024-01-02 04:30:00+00,34.66,56.78,999.9004,0.508,162.6,848.0,0.0
2024-01-02 04:40:00+00,34.7,55.29,999.7194,0.381,152.2,873.0,0.0
2024-01-02 04:50:00+00,34.91,55.07,999.573,0.335,169.0,855.0,0.0
2024-01-02 05:00:00+00,34.33,55.19,999.477,0.224,131.3,608.6,0.0
2024-01-02 05:10:00+00,34.17,54.64,999.3869,0.361,146.2,766.1,0.0
2024-01-02 05:20:00+00,34.47,55.75,999.2454,0.532,146.1,850.0,0.0
2024-01-02 05:30:00+00,33.79,61.96,998.9934,0.913,223.7,515.7,0.0
2024-01-02 05:40:00+00,33.19,62.15,998.8499,0.654,136.0,225.3,0.0
2024-01-02 05:50:00+00,32.64,65.98,998.7614,0.926,198.7,343.3,0.0
2024-01-02 06:00:00+00,32.97,65.85,998.6525,0.567,184.1,510.3,0.0
2024-01-02 06:10:00+00,33.13,64.5,998.4834,0.661,176.0,296.8,0.0
2024-01-02 06:20:00+00,32.57,66.25,998.3459,0.53,130.2,198.8,0.0
2024-01-02 06:30:00+00,32.01,68.0,998.2584,0.869,226.1,160.2,0.0
2024-01-02 06:40:00+00,32.08,69.98,998.1559,0.301,145.2,327.5,0.0
2024-01-02 06:50:00+00,32.49,67.05,998.139,0.249,169.2,328.4,0.0
2024-01-02 07:00:00+00,32.47,66.34,998.0749,0.857,108.6,392.1,0.0
2024-01-02 07:10:00+00,32.39,66.74,997.9089,0.642,203.0,487.6,0.0
2024-01-02 07:20:00+00,32.49,65.29,997.9129,0.234,166.1,228.7,0.0
2024-01-02 07:30:00+00,31.74,66.88,997.801,0.675,207.8,284.7,0.0
2024-01-02 07:40:00+00,32.12,66.21,997.6819,0.862,145.3,544.5,0.0
2024-01-02 07:50:00+00,32.24,63.87,997.6249,0.623,117.2,282.2,0.0
2024-01-02 08:00:00+00,31.72,65.61,997.61,0.873,124.5,308.3,0.0
2024-01-02 08:10:00+00,31.89,66.21,997.5065,0.572,183.9,322.8,0.0
2024-01-02 08:20:00+00,31.81,65.65,997.4289,0.976,123.6,216.6,0.0
2024-01-02 08:30:00+00,31.55,67.3,997.6619,0.569,201.6,135.0,0.0
2024-01-02 08:40:00+00,31.09,68.37,997.5864,0.69,247.5,133.3,0.0
2024-01-02 08:50:00+00,30.87,69.5,997.3919,0.486,208.2,109.9,0.0
2024-01-02 09:00:00+00,30.76,70.92,997.7314,0.098,217.4,83.1,0.0
2024-01-02 09:10:00+00,30.6,71.76,997.8239,0.392,148.2,70.76,0.0
2024-01-02 09:20:00+00,30.45,72.91,997.8439,0.35,104.7,54.39,0.0
2024-01-02 09:30:00+00,30.31,73.87,997.7645,0.25,147.6,34.22,0.0
2024-01-02 09:40:00+00,30.12,74.0,997.9759,0.346,163.9,21.18,0.0
2024-01-02 09:50:00+00,30.0,74.65,998.2105,0.304,242.5,7.989,0.0
2024-01-02 10:00:00+00,29.91,74.38,998.2394,0.22,105.6,9.81,0.0
2024-01-02 10:10:00+00,29.84,74.97,998.3254,0.071,125.0,9.79,0.0
2024-01-02 10:20:00+00,29.69,75.29,998.495,0.148,187.9,10.56,0.0
2024-01-02 10:30:00+00,29.57,75.3,998.6399,0.652,155.4,8.81,0.0
2024-01-02 10:40:00+00,29.6,75.24,998.9984,0.272,223.9,6.464,0.0
2024-01-02 10:50:00+00,29.51,75.9,999.0959,0.047,165.0,3.317,0.0
2024-01-02 11:00:00+00,29.41,76.62,999.183,0.542,186.2,1.525,0.0
2024-01-02 11:10:00+00,29.31,77.83,999.2674,0.204,224.4,0.097,0.0
2024-01-02 11:20:00+00,29.25,78.75,999.269,0.058,170.0,0.0,0.0
