date,tt,rh,pp,ws,wd,sr,rr
2024-01-01 16:50:00+00,24.5,97.1,963.3243,0.34,154.9,0.0,0.0
2024-01-01 17:00:00+00,24.46,97.3,963.4054,0.59,14.22,0.0,0.0
2024-01-01 17:10:00+00,24.37,97.6,963.3164,0.462,247.1,0.0,0.0
2024-01-01 17:20:00+00,24.3,97.8,963.2684,0.28,219.3,0.0,0.0
2024-01-01 17:30:00+00,24.26,98.0,963.2368,0.059,24.22,0.0,0.2
2024-01-01 17:40:00+00,24.23,98.1,963.2045,0.133,36.18,0.0,0.0
2024-01-01 17:50:00+00,24.15,98.0,963.1124,0.018,324.8,0.0,0.0
2024-01-01 18:00:00+00,24.16,98.1,963.1274,0.0,101.6,0.0,0.0
2024-01-01 18:10:00+00,24.16,98.1,962.989,0.0,198.0,0.0,0.0
2024-01-01 18:20:00+00,24.11,98.1,962.8542,0.019,91.2,0.0,0.0
2024-01-01 18:30:00+00,24.12,98.1,962.6312,0.125,58.73,0.0,0.0
2024-01-01 18:40:00+00,24.07,98.0,962.5843,0.035,136.3,0.0,0.0
2024-01-01 18:50:00+00,24.01,98.1,962.6133,0.705,165.2,0.0,0.0
2024-01-01 19:00:00+00,23.91,98.1,962.3934,0.036,302.2,0.0,0.0
2024-01-01 19:10:00+00,23.85,98.2,962.2492,0.361,27.07,0.0,0.0
2024-01-01 19:20:00+00,23.84,98.3,962.1891,0.088,38.14,0.0,0.0
2024-01-01 19:30:00+00,23.81,98.3,962.1903,0.0,16.7,0.0,0.0
2024-01-01 19:40:00+00,23.79,98.3,962.1136,0.125,180.6,0.0,0.0
2024-01-01 19:50:00+00,23.75,98.4,962.0782,0.044,205.8,0.0,0.0
2024-01-01 20:00:00+00,23.76,98.4,962.0431,0.339,81.3,0.0,0.0
2024-01-01 20:10:00+00,23.74,98.3,961.9974,0.0,27.64,0.0,0.0
2024-01-01 20:20:00+00,23.79,98.2,962.058,0.0,60.63,0.0,0.0
2024-01-01 20:30:00+00,23.81,98.1,961.997,0.095,60.12,0.0,0.0
2024-01-01 20:40:00+00,23.75,97.9,962.1545,0.0,222.1,0.0,0.0
2024-01-01 20:50:00+00,23.7,97.7,962.4295,0.041,48.51,0.0,0.0
2024-01-01 21:00:00+00,23.69,97.5,962.5582,0.0,42.74,0.0,0.0
2024-01-01 21:10:00+00,23.7,97.5,962.6019,0.192,31.27,0.0,0.0
2024-01-01 21:20:00+00,23.65,97.6,962.6369,0.58,245.3,0.0,0.0
2024-01-01 21:30:00+00,23.55,97.6,962.557,0.971,278.3,0.0,0.0
