date,tt,rh,pp,ws,wd,sr,rr
2024-01-01 17:40:00+00,26.85,95.0,994.9751,0.095,137.8,0.0,0.0
2024-01-01 17:50:00+00,26.79,94.9,995.0136,0.316,308.4,0.0,0.0
2024-01-01 18:00:00+00,26.78,95.0,995.045,0.149,296.0,0.0,0.0
2024-01-01 18:10:00+00,26.72,95.0,994.9153,0.372,284.1,0.0,0.0
2024-01-01 18:20:00+00,26.69,95.1,994.8073,0.423,287.0,0.0,0.0
2024-01-01 18:30:00+00,26.69,95.2,994.6611,0.191,268.9,0.0,0.0
2024-01-01 18:40:00+00,26.66,95.1,994.4538,0.317,266.2,0.0,0.0
2024-01-01 18:50:00+00,26.55,95.0,994.3808,0.466,280.5,0.0,0.0
2024-01-01 19:00:00+00,26.51,95.1,994.3388,0.44,279.5,0.0,0.0
2024-01-01 19:10:00+00,26.46,95.1,994.1621,0.496,279.3,0.0,0.0
2024-01-01 19:20:00+00,26.43,95.3,994.068,0.375,280.9,0.0,0.0
2024-01-01 19:30:00+00,26.4,95.1,994.0228,0.17,282.5,0.0,0.0
2024-01-01 19:40:00+00,26.36,95.0,993.9888,0.461,266.1,0.0,0.0
2024-01-01 19:50:00+00,26.36,95.1,993.9091,0.407,198.8,0.0,0.0
2024-01-01 20:00:00+00,26.29,95.1,993.8261,0.15,153.6,0.0,0.0
2024-01-01 20:10:00+00,26.19,95.1,993.8516,0.278,58.99,0.0,0.0
2024-01-01 20:20:00+00,26.2,95.4,993.9114,0.216,54.52,0.0,0.0
2024-01-01 20:30:00+00,26.22,95.5,993.9986,0.073,83.0,0.0,0.0
2024-01-01 20:40:00+00,26.26,95.5,994.1398,0.167,81.8,0.0,0.0
2024-01-01 20:50:00+00,26.29,95.6,994.2937,0.195,67.42,0.0,0.0
2024-01-01 21:00:00+00,26.23,95.5,994.4193,0.161,64.3,0.0,0.0
2024-01-01 21:10:00+00,26.08,95.2,994.4396,0.31,67.31,0.0,0.0
2024-01-01 21:20:00+00,25.93,95.2,994.5779,0.422,65.49,0.0,0.0
2024-01-01 21:30:00+00,25.8,95.3,994.5619,0.162,58.44,0.0,0.0
2024-01-01 21:40:00+00,25.75,95.4,994.4778,0.083,123.3,0.0,0.0
2024-01-01 21:50:00+00,25.74,95.4,994.532,0.159,242.9,0.0,0.0
2024-01-01 22:00:00+00,25.73,95.5,994.429,0.04,122.8,0.0,0.0
2024-01-01 22:10:00+00,25.73,95.6,994.3779,0.097,194.2,0.0,0.0
2024-01-01 22:20:00+00,25.67,95.6,994.3756,0.173,71.47,0.0,0.0
2024-01-01 22:30:00+00,25.62,95.6,994.667,0.364,168.6,1.187,0.0
2024-01-01 22:40:00+00,25.67,95.6,994.8554,0.375,191.2,8.06,0.0
2024-01-01 22:50:00+00,25.64,95.5,994.9874,0.05,118.5,17.1,0.0
2024-01-01 23:00:00+00,25.67,95.6,995.1763,0.0,99.2,28.9,0.0
2024-01-01 23:10:00+00,25.73,95.7,995.3178,0.0,38.34,56.03,0.0
2024-01-01 23:20:00+00,25.94,95.6,995.5519,0.259,56.29,88.9,0.0
2024-01-01 23:30:00+00,26.16,94.9,995.7321,0.342,105.2,105.5,0.0
2024-01-01 23:40:00+00,26.34,93.6,995.774,0.581,215.6,106.2,0.0
2024-01-01 23:50:00+00,26.7,92.6,995.702,0.896,230.3,150.6,0.0
2024-01-02 00:00:00+00,,,,,,,0.0
2024-01-02 00:10:00+00,27.14,90.2,995.9193,0.71,212.1,201.9,0.0
2024-01-02 00:20:00+00,27.68,86.4,996.0437,0.584,172.8,328.7,0.0
2024-01-02 00:30:00+00,28.04,84.1,996.2585,1.008,184.1,392.8,0.0
2024-01-02 00:40:00+00,28.59,80.0,996.3406,1.115,223.2,466.1,0.0
2024-01-02 00:50:00+00,28.6,78.24,996.5646,1.986,228.2,333.5,0.0
2024-01-02 01:00:00+00,28.39,77.72,996.4818,1.565,234.9,378.7,0.0
2024-01-02 01:10:00+00,28.87,74.9,996.402,1.816,244.0,658.4,0.0
2024-01-02 01:20:00+00,29.25,72.63,996.3642,1.984,240.5,724.2,0.0
2024-01-02 01:30:00+00,29.49,73.25,996.3136,1.884,243.4,591.4,0.0
2024-01-02 01:40:00+00,29.48,73.39,996.3651,1.978,231.3,515.8,0.0
2024-01-02 01:50:00+00,29.43,73.56,996.3207,1.838,235.3,519.3,0.0
2024-01-02 02:00:00+00,29.73,72.99,996.2653,1.838,226.7,493.2,0.0
2024-01-02 02:10:00+00,29.87,72.02,996.2493,1.888,241.5,474.4,0.0
2024-01-02 02:20:00+00,29.93,71.98,996.2502,2.321,228.4,828.0,0.0
2024-01-02 02:30:00+00,30.29,70.44,996.247,2.463,247.3,661.9,0.0
2024-01-02 02:40:00+00,30.29,70.07,996.1496,2.371,243.5,758.4,0.0
2024-01-02 02:50:00+00,30.87,68.22,996.0377,2.26,238.9,696.3,0.0
2024-01-02 03:00:00+00,30.88,67.55,995.8253,1.82,243.2,842.0,0.0
2024-01-02 03:10:00+00,31.0,67.27,995.6467,1.267,246.1,926.0,0.0
2024-01-02 03:20:00+00,31.42,66.34,995.5704,2.011,241.8,661.1,0.0
2024-01-02 03:30:00+00,31.16,67.49,995.5146,1.758,235.0,808.0,0.0
2024-01-02 03:40:00+00,31.46,65.76,995.3806,2.528,236.1,496.7,0.0
2024-01-02 03:50:00+00,30.65,70.13,995.3158,2.581,218.2,248.7,0.0
2024-01-02 04:00:00+00,29.88,73.32,995.2613,3.285,235.2,396.3,0.0
2024-01-02 04:10:00+00,30.47,71.27,995.1479,2.378,211.8,697.1,0.0
2024-01-02 04:20:00+00,30.9,69.03,995.0187,2.432,236.6,690.2,0.0
2024-01-02 04:30:00+00,31.51,66.47,994.866,2.73,209.3,941.0,0.0
2024-01-02 04:40:00+00,31.68,65.83,994.6453,2.787,218.8,826.0,0.0
2024-01-02 04:50:00+00,31.47,66.69,994.4181,3.235,233.9,614.3,0.0
2024-01-02 05:00:00+00,31.87,66.54,994.1286,2.815,215.9,460.6,0.0
