date,tt,rh,pp,ws,wd,sr,rr
2024-01-02 02:20:00+00,25.26,81.1,924.0653,0.583,118.1,378.8,0.0
2024-01-02 02:30:00+00,25.65,78.47,924.018,0.832,104.7,426.7,0.2
2024-01-02 02:40:00+00,25.99,76.58,923.9407,0.901,129.8,487.2,0.0
2024-01-02 02:50:00+00,26.47,74.56,923.8336,0.894,132.4,435.7,0.0
2024-01-02 03:00:00+00,26.7,73.52,923.7194,0.669,106.3,371.4,0.0
2024-01-02 03:10:00+00,26.54,74.55,923.531,0.632,124.5,364.4,0.0
2024-01-02 03:20:00+00,26.67,74.71,923.4218,0.797,129.7,319.3,0.0
2024-01-02 03:30:00+00,26.53,74.56,923.3904,0.983,90.5,288.3,0.0
2024-01-02 03:40:00+00,26.48,74.66,923.2434,1.009,124.7,294.1,0.0
2024-01-02 03:50:00+00,26.54,74.27,923.1361,0.971,100.5,295.8,0.0
2024-01-02 04:00:00+00,26.71,73.46,923.026,0.782,110.5,363.2,0.0
2024-01-02 04:10:00+00,26.97,72.79,922.8006,0.849,112.3,440.1,0.0
2024-01-02 04:20:00+00,27.03,70.65,922.6602,0.998,111.2,438.7,0.2
2024-01-02 04:30:00+00,27.27,68.28,922.5149,0.88,109.2,485.0,0.0
2024-01-02 04:40:00+00,27.94,67.51,922.4193,1.021,120.0,570.7,0.0
2024-01-02 04:50:00+00,28.2,67.12,922.3063,1.02,126.0,865.0,0.0
2024-01-02 05:00:00+00,29.41,62.89,922.1482,0.583,131.2,835.0,0.0
2024-01-02 05:10:00+00,29.9,58.83,922.0193,0.734,112.2,870.0,0.0
2024-01-02 05:20:00+00,30.03,55.99,921.835,0.522,233.9,823.0,0.0
2024-01-02 05:30:00+00,29.97,56.45,921.5832,1.02,166.6,719.4,0.0
2024-01-02 05:40:00+00,29.93,57.42,921.451,0.806,146.3,728.9,0.0
2024-01-02 05:50:00+00,30.32,57.13,921.3165,0.664,152.0,555.1,0.0
2024-01-02 06:00:00+00,30.18,56.54,921.1677,0.879,174.6,410.1,0.0
2024-01-02 06:10:00+00,29.99,57.29,920.9382,0.873,121.8,388.7,0.2
2024-01-02 06:20:00+00,29.78,58.29,920.7429,1.136,116.9,435.1,0.0
2024-01-02 06:30:00+00,29.73,57.97,920.6129,1.053,142.2,445.9,0.0
2024-01-02 06:40:00+00,29.83,57.94,920.4723,0.846,141.9,425.6,0.0
2024-01-02 06:50:00+00,29.95,58.2,920.362,1.121,123.4,441.1,0.0
2024-01-02 07:00:00+00,29.87,57.97,920.3847,1.414,134.2,450.1,0.0
2024-01-02 07:10:00+00,29.82,58.5,920.3438,1.118,158.3,428.6,0.0
2024-01-02 07:20:00+00,29.74,60.46,920.2818,1.22,122.7,351.3,0.0
2024-01-02 07:30:00+00,29.48,66.86,920.1234,0.824,163.5,241.8,0.0
2024-01-02 07:40:00+00,29.02,69.45,920.0442,0.735,146.1,223.8,0.0
2024-01-02 07:50:00+00,28.87,69.58,920.0042,0.956,210.3,257.9,0.0
2024-01-02 08:00:00+00,28.88,69.73,919.9073,0.763,225.4,228.5,0.0
2024-01-02 08:10:00+00,28.92,69.62,919.8171,0.499,191.1,204.7,0.2
2024-01-02 08:20:00+00,28.66,70.04,919.7363,0.538,176.1,134.5,0.0
2024-01-02 08:30:00+00,28.36,71.21,919.775,0.565,164.9,159.9,0.0
2024-01-02 08:40:00+00,28.75,65.42,919.7468,1.054,162.4,255.4,0.0
2024-01-02 08:50:00+00,28.96,67.74,919.7674,0.855,185.1,289.7,0.0
2024-01-02 09:00:00+00,29.17,68.6,919.8175,0.682,208.7,222.5,0.0
2024-01-02 09:10:00+00,28.86,68.82,919.8706,0.988,237.3,203.1,0.0
2024-01-02 09:20:00+00,28.84,68.36,919.913,1.246,255.9,156.6,0.0
2024-01-02 09:30:00+00,28.3,69.21,919.9482,0.937,242.7,121.8,0.0
2024-01-02 09:40:00+00,28.61,68.9,920.0979,0.69,226.7,278.9,0.0
2024-01-02 09:50:00+00,28.66,68.17,920.2445,1.294,263.9,171.5,0.0
2024-01-02 10:00:00+00,28.22,69.9,920.2856,1.174,250.4,108.6,0.0
2024-01-02 10:10:00+00,27.91,70.47,920.4871,0.887,254.4,51.81,0.0
2024-01-02 10:20:00+00,27.59,71.55,920.6059,1.193,254.0,33.56,0.0
2024-01-02 10:30:00+00,27.33,73.0,920.639,1.37,255.8,26.31,0.0
2024-01-02 10:40:00+00,26.95,75.05,920.8809,1.615,251.0,15.13,0.2
2024-01-02 10:50:00+00,26.55,77.17,920.9666,1.45,266.8,14.95,0.0
2024-01-02 11:00:00+00,26.26,78.73,921.0081,1.144,268.5,8.46,0.0
2024-01-02 11:10:00+00,26.0,80.5,921.1237,0.79,253.1,0.474,0.0
